Bcckt
Kobro
Kofor
Köhns
Köntö
Körso
Körzo
Köthö
Krahz
Krant
Krenk
Krims
Kruhs
Kruns
Kubul
Lahfa
Lahna
Laici
Lätäs
Lauht
Lebby
Lefte
Leken
Lesst
Libir
Lihst
Linin
Listi
Lobto
Lohso
Lokol
Lömöt
Lösön
Lubst
Lundi
Mahsa
Matta
Maxan
Medes
Mehlt
Melti
Menen
Midil
Milin
Mirki
Mißis
Mitti
Mocko
Mödeu
Morgo
Motol
Möwön
Mulur
Mumus
Nabal
Napal
Natan
Natar
Natta
Nehgt
Nickt
Nihri
Nöblö
Nöbst
Nöckö
Noito
Norvo
Nösön
Nutzu
Nylen
Odalt
Ödlor
Oenin
Ohnst
Öktie
Öllau
Onreh
Oppig
Orhab
Öteme
Ottis
Owögö
Ozäun
Palza
Perkt
Pfihl
Pfiii
Pfudu
Pigil
Pinni
Plana
Plint
Plugu
Pömpt
Poppo
Potzt
Prebe
Profo
Pruxy
Psölm
Purty
Puxil
Ragar
Rahms
Randa
Rasat
Rassa
Rauha
Raupi
Rausu
Rehst
Reten
Reusu
Reuzo
Rigil
Rocho
Romon
Rösön
Roton
Rotos
Ruffu
Ruhru
Salch
Salet
Samma
Satta
Sauha
Schib
Schil
Schor
Segtä
Seshe
Seugt
Sifti
Sihls
Sihni
Sirgi
Smugs
Sodot
Sofos
Sohbt
Söhgs
Solzo
Söndö
Sonko
Sönör
Sowoe
Späks
Speil
Spert
Spilt
Starm
Starn
Sters
Stöch
Stöfö
Stömm
Stött
Sturt
Sulun
Tapps
Tasts
Tatal
Tenzt
Teten
Tifil
Tings
Tinni
Tippi
Tirms
Titim
Titin
Töbön
Töböt
Töckt
Toigo
Tosto
Toton
Trass
Trege
Trehe
Trepf
Tronk
Truff
Typos
Uhmst
Uhran
Unarm
Vekel
Vemps
Veter
Vitim
Vörnö
Waban
Wackt
Wahan
Wahsa
Wahta
Wärkt
Wartu
Wechs
Weher
Wernt
Weuns
Wilfi
Wirin
Witin
Witzi
Wogon
Wohbo
Wohrt
Worbt
Worfo
Zahan
Zahga
Zanga
Zatat
Zätzä
Zauga
Zebre
Zidim
Zihlt
Zilti
Zöhlö
Zuhun
Zwack
Zwest
Zwöck
Zwoig
Zwong
